Blender 2.82 (sub 7) (hash 375c7dc4caf4 built 2020-03-12 05:30:40)
found bundled python: /usr/app/blender-2.82a-linux64/2.82/python
Read blend: /tmp/blender/eve.blend
Fra:1 Mem:46.44M (0.00M, Peak 46.56M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Cube
Fra:1 Mem:46.44M (0.00M, Peak 46.56M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Initializing
Fra:1 Mem:46.33M (0.00M, Peak 46.56M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Waiting for render to start
Fra:1 Mem:46.35M (0.00M, Peak 46.56M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:46.35M (0.00M, Peak 52.31M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene
Fra:1 Mem:46.35M (0.00M, Peak 52.31M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Shaders
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Background
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes Flags
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Copying Transformations to device
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Applying Static Transformations
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair Systems
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair settings | Copying Hair settings to device
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing attributes
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building BVH
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing normals
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects Flags
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Images
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera Volume
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.25M, Peak:0.25M | Scene, View Layer | Updating Lights
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.25M, Peak:0.25M | Scene, View Layer | Updating Lights | Computing distribution
Fra:1 Mem:46.85M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:0.25M, Peak:0.25M | Scene, View Layer | Updating Integrator
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Film
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:1.28M, Peak:1.53M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Baking
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory | Compiling render kernels
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.09 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Rendered 0/510 Tiles, Sample 0/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.10 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 1/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.11 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 2/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.11 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 3/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.12 | Remaining:00:00.92 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 4/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.13 | Remaining:00:01.50 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 5/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.14 | Remaining:00:01.88 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 6/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.14 | Remaining:00:02.16 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 7/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.15 | Remaining:00:02.36 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 8/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.16 | Remaining:00:02.51 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 9/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.17 | Remaining:00:02.64 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 10/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.18 | Remaining:00:02.74 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 11/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.18 | Remaining:00:02.82 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 12/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.19 | Remaining:00:02.89 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 13/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.20 | Remaining:00:02.94 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 14/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.21 | Remaining:00:02.99 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 15/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.21 | Remaining:00:03.03 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 16/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.22 | Remaining:00:03.07 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 17/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.23 | Remaining:00:03.10 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 18/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.24 | Remaining:00:03.13 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 19/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.24 | Remaining:00:03.15 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 20/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.25 | Remaining:00:03.17 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 21/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.26 | Remaining:00:03.18 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 22/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.27 | Remaining:00:03.19 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 23/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.27 | Remaining:00:03.20 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 24/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.28 | Remaining:00:03.21 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 25/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.29 | Remaining:00:03.22 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 26/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.30 | Remaining:00:03.23 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 27/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.30 | Remaining:00:03.23 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 28/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.31 | Remaining:00:03.23 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 29/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.32 | Remaining:00:03.24 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 30/510 Tiles, Sample 128/128
Fra:1 Mem:48.13M (0.00M, Peak 52.31M) | Time:00:00.33 | Remaining:00:03.24 | Mem:1.53M, Peak:1.66M | Scene, View Layer | Rendered 31/510 Tiles, Sample 128/128
